# Hyperlattice Slow Performer History

Generated by `cargo bench --bench retained_fuzz`. Timings are best-of-five wall-clock probes of deterministic inputs shaped by the registered cargo-fuzz targets.

Latest run sampled 20000 deterministic fuzz cases. This table merges crate-local history by `family + target + input`, keeps each case's worst observed time, and retains the 1000 worst cases.

## Worst Performers

| Rank | Worst Time | Family | Target | Input |
| 237 | 8.120 us | `cargo-fuzz` | `matrix_ops` | `seed[1112]` |
| 238 | 8.120 us | `cargo-fuzz` | `matrix_ops` | `seed[3856]` |
| 239 | 8.119 us | `cargo-fuzz` | `matrix_ops` | `seed[276]` |
| 240 | 8.119 us | `cargo-fuzz` | `matrix_ops` | `seed[2434]` |
| 241 | 8.119 us | `cargo-fuzz` | `matrix_ops` | `seed[2861]` |
| 242 | 8.119 us | `cargo-fuzz` | `matrix_ops` | `seed[3081]` |
| 243 | 8.119 us | `cargo-fuzz` | `matrix_ops` | `seed[3093]` |
| 244 | 8.119 us | `cargo-fuzz` | `matrix_ops` | `seed[3258]` |
| 245 | 8.110 us | `cargo-fuzz` | `matrix_ops` | `seed[2176]` |
| 246 | 8.110 us | `cargo-fuzz` | `matrix_ops` | `seed[3790]` |
| 247 | 8.110 us | `cargo-fuzz` | `matrix_ops` | `seed[3845]` |
| 248 | 8.110 us | `cargo-fuzz` | `matrix_ops` | `seed[3913]` |
| 249 | 8.109 us | `cargo-fuzz` | `matrix_ops` | `seed[2957]` |
| 250 | 8.100 us | `cargo-fuzz` | `matrix_ops` | `seed[2669]` |
| 251 | 8.100 us | `cargo-fuzz` | `matrix_ops` | `seed[2855]` |
| 252 | 8.100 us | `cargo-fuzz` | `matrix_ops` | `seed[3045]` |
| 253 | 8.100 us | `cargo-fuzz` | `matrix_ops` | `seed[3834]` |
| 254 | 8.099 us | `cargo-fuzz` | `matrix_ops` | `seed[2235]` |
| 255 | 8.099 us | `cargo-fuzz` | `matrix_ops` | `seed[2871]` |
| 256 | 8.099 us | `cargo-fuzz` | `matrix_ops` | `seed[3073]` |
| 257 | 8.099 us | `cargo-fuzz` | `matrix_ops` | `seed[3656]` |
| 258 | 8.090 us | `cargo-fuzz` | `matrix_ops` | `seed[3909]` |
| 259 | 8.089 us | `cargo-fuzz` | `matrix_ops` | `seed[37]` |
| 260 | 8.089 us | `cargo-fuzz` | `matrix_ops` | `seed[38]` |
| 261 | 8.089 us | `cargo-fuzz` | `matrix_ops` | `seed[1018]` |
| 262 | 8.089 us | `cargo-fuzz` | `matrix_ops` | `seed[2259]` |
